,Category,Begin Time,End Time,&=crying duration,&=crying density
0,,00:09:39.040,00:09:56.550,0.5,0.03
1,,00:11:10.420,00:11:13.130,1.7,0.63
2,,00:12:50.270,00:12:56.170,1.1,0.19
3,,00:15:08.640,00:15:45.700,0.9,0.02
4,,00:22:54.710,00:23:08.670,3.4,0.24
5,,00:36:33.500,00:40:05.630,10.7,0.05
6,,00:42:46.130,00:42:50.630,0.8,0.18
7,,00:46:29.550,00:46:52.360,1.0,0.04
8,,00:48:33.860,00:48:37.510,1.3,0.36
9,,00:54:37.990,00:54:44.020,2.5,0.41
10,,00:58:53.890,00:58:57.680,1.3,0.34
11,,01:01:10.900,01:02:23.870,6.9,0.09
12,,01:04:22.840,01:05:49.780,9.2,0.11
13,,01:08:43.840,01:09:00.660,5.9,0.35
14,,01:52:57.400,01:53:35.590,6.3,0.16
15,yes,01:55:42.810,01:56:54.660,14.9,0.21
16,yes,01:58:18.970,01:58:46.570,1.1,0.04
17,no,02:00:10.030,02:00:32.650,0.3,0.01
18,yes,02:04:26.520,02:06:49.410,45.9,0.32
19,yes,02:09:20.640,02:09:58.850,22.3,0.58
20,yes,02:12:56.650,02:19:37.110,179.5,0.45
21,yes,02:33:43.090,02:35:08.680,3.0,0.04
22,yes,02:39:12.000,02:40:16.760,5.6,0.09
23,yes,02:46:27.090,02:49:53.180,38.8,0.19
24,no,02:51:21.590,02:51:23.050,1.5,1.03
25,yes,02:55:33.890,02:57:25.050,42.4,0.38
26,no,03:01:49.700,03:02:41.280,2.0,0.04
27,no,03:04:50.780,03:06:01.860,1.4,0.02
28,no,03:07:10.760,03:07:28.420,2.8,0.16
29,no,03:09:17.990,03:11:43.510,6.0,0.04
30,no,03:15:11.440,03:19:35.040,19.9,0.08
31,yes,03:22:00.650,03:23:14.060,2.9,0.04
32,no,03:28:04.110,03:28:09.470,1.0,0.19
33,no,03:32:01.230,03:32:52.030,1.9,0.04
34,no,03:33:56.310,03:34:21.750,0.7,0.03
35,yes,03:38:56.440,03:40:31.470,27.0,0.28
36,yes,03:42:43.750,03:43:04.750,2.0,0.10
37,yes,03:45:10.340,03:45:35.440,2.6,0.10
38,no,03:47:46.160,03:47:54.770,0.2,0.02
39,,03:49:04.980,03:50:14.050,0.4,0.01
40,,03:51:46.400,03:53:22.400,25.4,0.26
41,,03:56:00.980,04:04:47.700,158.3,0.30
42,,04:06:06.120,04:06:10.720,1.0,0.22
43,,04:10:04.230,04:14:42.350,121.8,0.44
44,,04:18:19.430,04:18:30.320,9.2,0.84
45,,05:59:03.890,06:00:42.750,4.5,0.05
46,,06:11:35.120,06:12:08.690,1.8,0.05
47,,06:13:15.910,06:14:02.630,2.0,0.04
48,,06:19:42.660,06:20:14.590,5.9,0.18
49,,06:28:11.110,06:28:25.500,2.7,0.19
50,,06:31:43.310,06:31:55.800,1.6,0.13
51,,06:34:33.410,06:35:18.300,8.5,0.19
52,,06:41:51.870,06:42:21.070,5.8,0.20
53,,06:47:44.380,06:49:25.070,30.7,0.30
54,,06:58:15.940,06:58:22.520,1.1,0.17
55,,07:00:47.590,07:04:33.480,142.2,0.63
56,,07:06:00.090,07:07:32.860,9.7,0.10
57,,07:09:58.410,07:10:06.320,4.1,0.52
58,,07:12:02.550,07:12:07.080,0.5,0.11
59,,07:14:09.960,07:15:51.800,11.2,0.11
60,,07:17:46.940,07:19:51.050,34.2,0.28
61,,07:23:02.280,07:23:37.360,4.1,0.12
62,,07:29:48.220,07:30:55.620,4.7,0.07
63,,07:36:41.480,07:37:49.850,22.4,0.33
64,,07:49:38.090,07:51:03.540,5.2,0.06
65,,07:52:57.850,07:54:40.080,4.8,0.05
66,,07:57:07.750,07:59:34.750,28.3,0.19
67,,08:57:05.590,09:10:34.440,254.1,0.31
68,,09:13:24.190,09:13:25.650,0.5,0.34
69,,09:17:07.800,09:17:14.930,0.8,0.11
70,,09:21:36.580,09:22:05.910,1.8,0.06
71,,09:23:17.310,09:23:31.560,2.4,0.17
72,,09:24:38.520,09:25:58.500,12.5,0.16
73,,09:27:11.420,09:27:36.620,3.9,0.15
74,,09:28:42.730,09:36:58.850,114.7,0.23
75,,09:38:00.670,09:39:43.910,24.6,0.24
76,,09:46:03.530,09:46:06.280,1.2,0.44
77,,09:52:15.840,09:56:29.860,72.9,0.29
78,,09:59:44.830,10:04:09.060,85.9,0.33
79,,10:05:17.600,10:05:44.990,1.7,0.06
80,,10:09:25.570,10:13:28.200,65.1,0.27
81,,10:16:34.900,10:16:44.700,2.0,0.20
82,,10:20:20.690,10:22:47.940,17.1,0.12
83,,10:28:02.080,10:32:26.440,18.6,0.07
84,,10:33:52.640,10:34:41.450,9.3,0.19
85,,10:36:32.880,10:37:08.350,17.4,0.49
86,,10:41:53.110,10:41:57.340,4.1,0.97
87,,10:44:59.950,10:47:07.150,62.0,0.49
88,,10:50:55.350,10:53:42.340,23.7,0.14
89,,10:55:42.110,10:58:28.730,67.3,0.40
90,,11:01:45.500,11:08:08.270,135.3,0.35
91,,11:14:48.470,11:15:27.040,1.1,0.03
92,,11:18:34.480,11:19:09.420,15.8,0.45
93,,11:21:26.890,11:22:05.110,5.6,0.15
94,,11:30:13.200,11:30:45.600,0.4,0.01
95,,11:40:23.660,11:46:38.710,180.3,0.48
96,,11:48:18.920,11:48:21.270,1.0,0.43
97,,11:49:27.520,11:56:50.720,129.9,0.29
98,,11:59:09.590,12:08:57.700,283.0,0.48
