,Participant,Total Duration (Seconds),Duration Mean,Duration Median,Duration Standard Dev,Total Occurring Episodes,Total Categorized Episodes,Total Categorized Episodes Duration Mean,Total Categorized Episodes Duration Max,Total Categorized Episodes Duration Median
0,p2_pre _e20160630_175407_013089_1_Min_Density.csv,4816.78,81.6403389831,43.66,89.8474006871,60.0,14.0,21.3142857143,95.6,9.1
1,p3 post _ e20160710_123024_013089_1_Min_Density.csv,1689.21,54.4906451613,37.69,48.4605721479,32.0,13.0,3.73076923077,8.1,3.9
2,p3 pre_e20160705_171307_013088_1_Min_Density.csv,1837.63,51.0452777778,25.985,59.6702284458,37.0,11.0,14.6454545455,82.7,6.3
3,p4 post_ e20160710_123200_013088_1_Min_Density.csv,4306.95,91.6372340426,51.47,135.51129569,48.0,16.0,6.39375,23.4,3.45
4,p5 post_ e20160830_152743_013088_1_Min_Density.csv,5627.09,102.310727273,56.39,161.915876648,56.0,18.0,22.3666666667,74.0,10.55
5,P5 pre _ e20160718_141513_013088_1_Min_Density.csv,6982.08,90.6763636364,57.92,105.424606859,78.0,14.0,8.43571428571,49.0,3.75
6,p6 post _ e20160830_153103_013089_1_Min_Density.csv,10338.03,92.3038392857,58.855,94.3524221534,113.0,23.0,13.0956521739,57.9,3.7
7,p6 pre_ e20160718_142108_013089_1_Min_Density.csv,10302.07,104.061313131,46.72,143.191244934,100.0,24.0,17.7375,179.5,2.85
