Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*TVF	*SIL	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*CHF	*NON	*FAN	*OLN	
9153.36	9153360	9154.45	9154450	1.09	1090															
9157.05	9157050	9157.95	9157950	0.9	900															
9158.75	9158750	9160.56	9160560	1.81	1810															
9161.36	9161360	9163.96	9163960	2.6	2600															
9164.97	9164970	9165.78	9165780	0.81	810															
9166.95	9166950	9167.76	9167760	0.81	810															
9173.6	9173600	9174.45	9174450	0.85	850															
9175.36	9175360	9176.78	9176780	1.42	1420															
9183.57	9183570	9184.48	9184480	0.91	910															
9185.28	9185280	9186.59	9186590	1.31	1310															
9188.25	9188250	9189.05	9189050	0.8	800															
9194.08	9194080	9194.89	9194890	0.81	810															
9198.42	9198420	9200.93	9200930	2.51	2510															
9202.06	9202060	9202.87	9202870	0.81	810															
9228.08	9228080	9228.88	9228880	0.8	800															
9230.49	9230490	9231.48	9231480	0.99	990															
9264.81	9264810	9267.65	9267650	2.84	2840															
9272.12	9272120	9274.76	9274760	2.64	2640															
9274.76	9274760	9275.76	9275760	1.0	1000															
9275.76	9275760	9276.98	9276980	1.22	1220															
9282.83	9282830	9283.63	9283630	0.8	800															
9290.22	9290220	9291.05	9291050	0.83	830															
9295.76	9295760	9296.76	9296760	1.0	1000															
9296.76	9296760	9298.49	9298490	1.73	1730															
9308.05	9308050	9308.85	9308850	0.8	800															
9308.85	9308850	9309.45	9309450	0.6	600															
9309.45	9309450	9310.79	9310790	1.34	1340															
9313.35	9313350	9314.15	9314150	0.8	800															
9346.74	9346740	9347.76	9347760	1.02	1020															
9350.68	9350680	9351.48	9351480	0.8	800															
9352.65	9352650	9354.34	9354340	1.69	1690															
9355.2	9355200	9356.13	9356130	0.93	930															
9357.03	9357030	9357.83	9357830	0.8	800															
9373.8	9373800	9374.99	9374990	1.19	1190															
9410.43	9410430	9413.58	9413580	3.15	3150															
9414.39	9414390	9415.78	9415780	1.39	1390															
9417.11	9417110	9417.91	9417910	0.8	800															
9427.99	9427990	9429.17	9429170	1.18	1180															
9430.43	9430430	9431.84	9431840	1.41	1410															
9446.41	9446410	9447.7	9447700	1.29	1290															
9448.79	9448790	9451.99	9451990	3.2	3200															
9471.5	9471500	9472.3	9472300	0.8	800															
9513.12	9513120	9515.82	9515820	2.7	2700															
9520.53	9520530	9522.92	9522920	2.39	2390															
9523.78	9523780	9526.61	9526610	2.83	2830															
9544.65	9544650	9546.31	9546310	1.66	1660															
9547.91	9547910	9548.51	9548510	0.6	600															
9557.24	9557240	9558.65	9558650	1.41	1410															
9560.48	9560480	9561.67	9561670	1.19	1190															
9582.97	9582970	9584.92	9584920	1.95	1950															
9601.91	9601910	9602.72	9602720	0.81	810															
