Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*TVF	*SIL	*CXF	*MAN	*CHN	*FAF	*TVN	*MAF	*CHF	*NON	*FAN	*OLN	
8279.45	8279450	8280.25	8280250	0.8	800															
8284.66	8284660	8285.26	8285260	0.6	600															
8286.83	8286830	8287.43	8287430	0.6	600															
8313.57	8313570	8314.53	8314530	0.96	960															
8317.23	8317230	8318.03	8318030	0.8	800															
8352.42	8352420	8353.04	8353040	0.62	620															
8545.52	8545520	8546.12	8546120	0.6	600															
8695.14	8695140	8695.74	8695740	0.6	600															
8782.39	8782390	8782.99	8782990	0.6	600															
8835.4	8835400	8836.67	8836670	1.27	1270															
8842.59	8842590	8843.39	8843390	0.8	800															
8864.71	8864710	8865.51	8865510	0.8	800															
8871.58	8871580	8872.8	8872800	1.22	1220															
8880.06	8880060	8880.82	8880820	0.76	760															
8888.33	8888330	8889.3	8889300	0.97	970															
8935.7	8935700	8936.53	8936530	0.83	830															
8937.81	8937810	8941.37	8941370	3.56	3560															
8951.86	8951860	8952.6	8952600	0.74	740															
8962.08	8962080	8963.1	8963100	1.02	1020															
8978.48	8978480	8979.68	8979680	1.2	1200															
8985.28	8985280	8986.11	8986110	0.83	830															
9262.28	9262280	9262.88	9262880	0.6	600															
10210.35	10210350	10211.22	10211220	0.87	870															
10220.55	10220550	10221.73	10221730	1.18	1180															
10224.91	10224910	10225.71	10225710	0.8	800															
10235.68	10235680	10238.97	10238970	3.29	3290															
10240.98	10240980	10245.24	10245240	4.26	4260															
10252.92	10252920	10253.74	10253740	0.82	820															
10268.02	10268020	10268.84	10268840	0.82	820															
10605.2	10605200	10606.01	10606010	0.81	810															
10613.49	10613490	10614.43	10614430	0.94	940															
10615.23	10615230	10616.05	10616050	0.82	820															
10625.55	10625550	10626.36	10626360	0.81	810															
10627.16	10627160	10628.49	10628490	1.33	1330															
10629.31	10629310	10630.53	10630530	1.22	1220															
10647.24	10647240	10648.04	10648040	0.8	800															
10650.63	10650630	10651.48	10651480	0.85	850															
10672.5	10672500	10673.3	10673300	0.8	800															
10679.92	10679920	10682.51	10682510	2.59	2590															
10684.0	10684000	10687.0	10687000	3.0	3000															
10729.47	10729470	10731.23	10731230	1.76	1760															
10750.33	10750330	10751.78	10751780	1.45	1450															
10752.58	10752580	10753.58	10753580	1.0	1000															
10808.17	10808170	10808.97	10808970	0.8	800															
10856.75	10856750	10857.55	10857550	0.8	800															
10963.38	10963380	10964.23	10964230	0.85	850															
10972.13	10972130	10972.93	10972930	0.8	800															
11269.69	11269690	11270.49	11270490	0.8	800															
11275.82	11275820	11276.63	11276630	0.81	810															
11280.74	11280740	11281.83	11281830	1.09	1090															
11291.46	11291460	11294.34	11294340	2.88	2880															
