,Category,Begin Time,End Time,&=crying duration,&=crying density,&=crying max duration,&=crying mean duration
36,,05:26:21.860,05:28:58.510,42.6,0.27,8.5,1.4
37,,05:38:37.950,05:41:07.600,27.3,0.18,10.0,1.7
38,,05:43:10.980,05:45:47.970,55.0,0.35,7.8,1.4
39,,05:48:21.080,05:55:17.180,65.4,0.16,9.6,1.6
40,,05:58:06.980,05:58:10.370,2.4,0.71,1.5,1.2
41,,05:59:14.030,05:59:37.370,14.4,0.62,3.6,1.8
42,,06:00:54.050,06:01:33.600,0.4,0.01,0.4,0.4
43,,06:04:27.930,06:05:09.750,2.3,0.05,1.1,0.7
44,,06:14:14.840,06:14:20.340,3.4,0.62,1.9,1.7
45,,06:20:27.260,06:20:36.530,5.4,0.58,2.8,2.7
46,,06:26:25.910,06:27:17.200,5.6,0.11,1.4,0.8
47,,06:28:20.300,06:30:41.740,6.5,0.05,2.2,1.0
48,,06:37:16.870,06:37:54.280,0.2,0.01,0.2,0.2
49,,06:48:49.570,06:49:00.250,1.5,0.14,0.8,0.7
50,,06:53:23.910,06:54:48.420,16.4,0.19,3.0,1.8
51,,07:05:25.820,07:06:37.190,6.7,0.09,1.6,0.9
52,,07:44:21.810,07:44:37.100,3.3,0.22,2.2,1.1
53,,07:46:57.840,07:49:18.340,5.4,0.04,1.1,0.7
54,,07:51:04.660,07:51:37.530,0.5,0.02,0.3,0.2
55,,07:54:05.130,07:56:33.840,82.7,0.56,7.7,1.7
56,,08:01:32.100,08:02:12.270,1.3,0.03,0.7,0.6
57,,08:05:39.230,08:10:24.520,176.3,0.62,20.5,2.9
58,,08:11:48.660,08:16:46.150,114.4,0.38,6.7,1.6
59,,08:40:45.840,08:41:12.560,7.6,0.28,2.2,0.9
60,,08:45:49.530,08:49:21.740,75.2,0.35,4.5,1.4
61,,08:50:30.390,08:50:34.820,1.2,0.27,0.7,0.6
62,,08:53:23.020,08:55:19.740,14.0,0.12,2.7,1.0
63,,08:57:20.110,08:57:53.480,22.5,0.67,9.6,2.5
64,,08:58:53.540,08:59:27.980,0.7,0.02,0.4,0.3
65,,09:03:40.150,09:04:22.240,5.8,0.14,2.4,0.8
66,,09:08:47.930,09:08:50.880,0.8,0.27,0.8,0.8
67,,09:09:53.710,09:11:04.370,1.9,0.03,0.8,0.6
68,,09:13:25.000,09:15:29.430,6.6,0.05,2.0,0.9
69,,09:17:40.020,09:17:46.990,2.4,0.34,0.8,0.6
70,,09:18:57.870,09:19:21.280,3.2,0.14,0.9,0.8
71,,09:22:27.640,09:25:15.990,11.4,0.07,2.4,0.9
72,,09:26:49.910,09:27:18.020,1.2,0.04,0.9,0.6
73,,09:30:45.360,09:32:18.900,4.5,0.05,1.6,1.1
74,,09:33:35.530,09:41:08.170,362.8,0.80,24.0,4.5
75,,09:43:47.520,09:44:01.250,11.3,0.82,6.4,2.8
76,,09:45:45.510,09:47:37.500,36.2,0.32,11.8,2.2
77,,09:50:52.150,09:55:48.810,204.7,0.69,17.5,3.7
78,yes,10:20:40.130,10:21:37.500,9.7,0.17,4.4,1.3
79,yes,10:29:59.190,10:33:22.390,57.9,0.28,17.6,2.3
80,no,10:35:15.690,10:35:28.150,1.1,0.09,0.8,0.5
81,yes,10:43:02.300,10:44:26.880,15.4,0.18,5.2,1.2
82,no,10:50:27.460,10:50:36.930,1.5,0.16,0.7,0.5
83,no,10:52:00.280,10:52:07.800,3.7,0.49,3.0,1.8
84,yes,10:53:22.350,10:55:43.530,55.7,0.39,11.2,3.0
85,yes,10:56:59.080,10:57:46.450,6.7,0.14,2.3,1.1
86,yes,11:02:49.840,11:04:22.620,4.4,0.05,2.4,1.4
87,no,11:07:45.770,11:11:37.810,46.3,0.20,7.4,1.5
88,yes,11:15:35.030,11:17:40.740,39.0,0.31,8.8,1.8
89,no,11:19:53.930,11:19:56.620,2.0,0.74,1.7,1.0
90,no,11:33:21.440,11:34:30.260,4.5,0.07,1.3,0.7
91,no,11:37:06.840,11:39:04.600,2.7,0.02,0.8,0.5
92,no,11:40:30.440,11:41:10.220,1.7,0.04,0.7,0.5
93,yes,11:44:38.580,11:45:08.850,13.0,0.43,3.8,1.8
94,yes,11:47:29.250,11:47:32.110,2.1,0.73,1.4,1.0
95,no,11:49:18.610,11:49:47.640,1.1,0.04,1.1,1.1
96,no,11:54:59.100,11:56:06.760,2.9,0.04,0.7,0.4
97,yes,11:59:24.120,12:01:48.220,25.6,0.18,4.4,1.5
98,yes,12:07:09.350,12:07:11.260,1.4,0.73,0.9,0.7
