,Category,Begin Time,End Time,&=crying duration,&=crying density,&=crying max duration,&=crying mean duration
0,,00:13:56.450,00:16:24.380,13.3,0.09,5.2,1.9
1,,00:18:28.860,00:18:50.490,3.0,0.14,2.1,1.0
2,,00:24:22.530,00:26:40.670,22.2,0.16,3.6,1.2
3,,01:50:10.990,01:51:15.930,5.1,0.08,2.8,1.2
4,,01:53:22.090,01:54:19.750,2.0,0.03,1.5,1.0
5,,02:00:21.520,02:00:49.660,1.1,0.04,0.9,0.5
6,,02:02:50.110,02:03:09.070,1.8,0.09,1.1,0.9
7,,02:06:27.430,02:08:20.470,5.6,0.05,1.4,0.6
8,,02:10:38.910,02:11:58.710,2.2,0.03,0.7,0.5
9,,02:14:36.390,02:15:51.310,5.7,0.08,1.1,0.8
10,,02:17:56.540,02:20:52.270,8.5,0.05,3.1,1.2
11,,02:21:52.850,02:21:56.830,2.1,0.53,1.4,1.0
12,,02:29:58.850,02:32:07.210,22.7,0.18,4.1,1.1
13,,02:33:29.480,02:34:17.660,9.6,0.20,5.0,1.6
14,,02:39:55.170,02:40:12.970,9.4,0.53,4.0,1.5
15,,05:17:16.000,05:17:23.820,0.9,0.12,0.9,0.9
16,,05:21:49.640,05:22:23.180,1.3,0.04,0.8,0.6
17,,05:24:55.170,05:25:00.130,1.7,0.34,0.9,0.8
18,yes,07:11:59.780,07:12:57.560,2.1,0.04,1.8,1.0
19,yes,07:16:57.260,07:17:25.890,2.0,0.07,1.9,1.0
20,yes,07:18:41.250,07:18:48.960,1.3,0.17,0.9,0.6
21,yes,07:19:50.060,07:19:59.300,1.0,0.11,0.4,0.3
22,yes,07:24:02.130,07:25:36.110,8.0,0.09,2.0,1.1
23,yes,10:52:07.950,10:52:18.140,0.9,0.09,0.6,0.4
24,yes,10:53:37.250,10:54:53.700,3.9,0.05,2.3,0.9
25,yes,11:19:04.920,11:20:26.300,4.4,0.05,2.7,0.7
26,no,11:22:11.150,11:22:14.630,0.5,0.14,0.3,0.2
27,no,11:45:44.490,11:46:22.180,7.2,0.19,3.1,1.4
28,yes,11:47:30.260,11:49:05.070,4.7,0.05,1.6,0.7
29,yes,12:43:08.650,12:43:17.240,8.1,0.94,7.6,4.0
30,yes,12:44:22.240,12:44:35.990,4.4,0.32,3.1,1.4
