,Category,Begin Time,End Time,&=crying duration,&=crying density
90,no,11:33:21.440,11:34:30.260,4.5,0.07
91,no,11:37:06.840,11:39:04.600,2.7,0.02
92,no,11:40:30.440,11:41:10.220,1.7,0.04
93,yes,11:44:38.580,11:45:08.850,13.0,0.43
94,yes,11:47:29.250,11:47:32.110,2.1,0.73
95,no,11:49:18.610,11:49:47.640,1.1,0.04
96,no,11:54:59.100,11:56:06.760,2.9,0.04
97,yes,11:59:24.120,12:01:48.220,25.6,0.18
98,yes,12:07:09.350,12:07:11.260,1.4,0.73
99,no,12:13:36.300,12:13:48.320,2.1,0.17
100,no,12:16:08.820,12:16:40.240,0.7,0.02
101,,12:18:30.940,12:22:47.150,44.1,0.17
102,,12:24:30.140,12:28:43.200,17.0,0.07
103,,12:31:13.200,12:31:41.530,3.4,0.12
104,,12:32:42.200,12:33:42.540,5.3,0.09
105,,12:40:57.450,12:42:39.210,4.3,0.04
106,,12:47:33.770,12:54:17.450,219.4,0.54
107,,12:58:23.860,12:58:35.380,0.4,0.03
108,,13:02:49.760,13:03:08.600,0.5,0.03
109,,13:16:38.370,13:17:27.500,0.6,0.01
110,,13:22:23.880,13:23:25.380,3.5,0.06
111,,13:29:43.850,13:30:19.050,1.9,0.05
