Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*SIL	*TVF	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*CHF	*NON	*FAN	*OLN	
4235.6	4235600	4236.2	4236200	0.6	600															
4238.86	4238860	4239.85	4239850	0.99	990															
4242.71	4242710	4244.32	4244320	1.61	1610															
4281.03	4281030	4281.95	4281950	0.92	920															
4283.22	4283220	4284.9	4284900	1.68	1680															
4286.4	4286400	4288.16	4288160	1.76	1760															
4290.44	4290440	4291.27	4291270	0.83	830															
4303.92	4303920	4304.75	4304750	0.83	830															
4310.52	4310520	4312.32	4312320	1.8	1800															
4313.46	4313460	4314.5	4314500	1.04	1040															
4315.32	4315320	4320.04	4320040	4.72	4720															
4323.0	4323000	4325.72	4325720	2.72	2720															
4325.72	4325720	4326.74	4326740	1.02	1020															
4328.14	4328140	4330.06	4330060	1.92	1920															
4332.85	4332850	4333.94	4333940	1.09	1090															
4337.87	4337870	4338.67	4338670	0.8	800															
4339.67	4339670	4340.71	4340710	1.04	1040															
4497.22	4497220	4498.22	4498220	1.0	1000															
4499.25	4499250	4500.77	4500770	1.52	1520															
4565.41	4565410	4566.56	4566560	1.15	1150															
4781.01	4781010	4781.81	4781810	0.8	800															
4784.4	4784400	4786.86	4786860	2.46	2460															
4788.68	4788680	4789.52	4789520	0.84	840															
4790.82	4790820	4791.63	4791630	0.81	810															
4799.57	4799570	4802.19	4802190	2.62	2620															
4803.34	4803340	4805.37	4805370	2.03	2030															
4805.37	4805370	4806.52	4806520	1.15	1150															
4806.52	4806520	4808.25	4808250	1.73	1730															
4812.83	4812830	4814.87	4814870	2.04	2040															
4815.96	4815960	4818.37	4818370	2.41	2410															
4819.42	4819420	4820.77	4820770	1.35	1350															
4822.88	4822880	4824.3	4824300	1.42	1420															
4826.35	4826350	4827.69	4827690	1.34	1340															
4827.69	4827690	4828.57	4828570	0.88	880															
4828.57	4828570	4830.03	4830030	1.46	1460															
4830.03	4830030	4831.59	4831590	1.56	1560															
4832.72	4832720	4833.8	4833800	1.08	1080															
4837.12	4837120	4837.92	4837920	0.8	800															
