Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*SIL	*TVF	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*NON	*CHF	*FAN	*OLN	
8882.49	8882490	8883.29	8883290	0.8	800															
8884.97	8884970	8885.96	8885960	0.99	990															
8890.68	8890680	8891.62	8891620	0.94	940															
8897.39	8897390	8898.46	8898460	1.07	1070															
8899.7	8899700	8900.51	8900510	0.81	810															
9013.1	9013100	9013.91	9013910	0.81	810															
9084.8	9084800	9085.74	9085740	0.94	940															
9087.35	9087350	9088.18	9088180	0.83	830															
9107.99	9107990	9108.89	9108890	0.9	900															
9120.84	9120840	9121.83	9121830	0.99	990															
9127.21	9127210	9128.01	9128010	0.8	800															
9165.77	9165770	9166.72	9166720	0.95	950															
9277.09	9277090	9278.14	9278140	1.05	1050															
9278.14	9278140	9279.46	9279460	1.32	1320															
9290.36	9290360	9291.16	9291160	0.8	800															
9296.15	9296150	9296.81	9296810	0.66	660															
9323.93	9323930	9324.73	9324730	0.8	800															
9331.25	9331250	9332.54	9332540	1.29	1290															
9392.22	9392220	9393.65	9393650	1.43	1430															
9450.12	9450120	9450.95	9450950	0.83	830															
9576.88	9576880	9577.68	9577680	0.8	800															
9600.54	9600540	9601.35	9601350	0.81	810															
9739.61	9739610	9740.74	9740740	1.13	1130															
9742.37	9742370	9743.43	9743430	1.06	1060															
9745.79	9745790	9746.91	9746910	1.12	1120															
9755.85	9755850	9756.65	9756650	0.8	800															
9760.14	9760140	9761.39	9761390	1.25	1250															
9762.44	9762440	9763.76	9763760	1.32	1320															
9779.28	9779280	9780.09	9780090	0.81	810															
9780.09	9780090	9780.71	9780710	0.62	620															
9822.45	9822450	9823.94	9823940	1.49	1490															
9824.87	9824870	9825.67	9825670	0.8	800															
9827.24	9827240	9828.68	9828680	1.44	1440															
9849.22	9849220	9850.02	9850020	0.8	800															
9876.44	9876440	9877.46	9877460	1.02	1020															
9877.46	9877460	9878.48	9878480	1.02	1020															
9917.04	9917040	9917.64	9917640	0.6	600															
9917.64	9917640	9918.68	9918680	1.04	1040															
9934.8	9934800	9935.76	9935760	0.96	960															
9940.72	9940720	9941.72	9941720	1.0	1000															
9983.3	9983300	9984.1	9984100	0.8	800															
10006.87	10006870	10007.98	10007980	1.11	1110															
10019.72	10019720	10020.32	10020320	0.6	600															
10053.74	10053740	10054.74	10054740	1.0	1000															
10075.95	10075950	10077.89	10077890	1.94	1940															
10130.83	10130830	10132.01	10132010	1.18	1180															
10134.49	10134490	10135.76	10135760	1.27	1270															
10174.27	10174270	10174.88	10174880	0.61	610															
10208.02	10208020	10208.82	10208820	0.8	800															
10241.23	10241230	10242.03	10242030	0.8	800															
10314.4	10314400	10315.77	10315770	1.37	1370															
