Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*SIL	*TVF	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*CHF	*NON	*FAN	*OLN	
3220.63	3220630	3221.63	3221630	1.0	1000															
3221.63	3221630	3222.43	3222430	0.8	800															
3224.18	3224180	3225.78	3225780	1.6	1600															
3233.37	3233370	3234.17	3234170	0.8	800															
3268.44	3268440	3269.76	3269760	1.32	1320															
3275.05	3275050	3276.79	3276790	1.74	1740															
3278.51	3278510	3279.43	3279430	0.92	920															
3284.62	3284620	3285.69	3285690	1.07	1070															
3326.06	3326060	3326.86	3326860	0.8	800															
3343.49	3343490	3344.29	3344290	0.8	800															
3344.29	3344290	3345.39	3345390	1.1	1100															
3345.39	3345390	3346.64	3346640	1.25	1250															
3347.78	3347780	3348.58	3348580	0.8	800															
3370.22	3370220	3371.02	3371020	0.8	800															
3381.37	3381370	3382.26	3382260	0.89	890															
3395.12	3395120	3396.55	3396550	1.43	1430															
3405.33	3405330	3406.7	3406700	1.37	1370															
3896.39	3896390	3897.47	3897470	1.08	1080															
3956.76	3956760	3957.72	3957720	0.96	960															
4029.21	4029210	4031.63	4031630	2.42	2420															
4053.31	4053310	4054.2	4054200	0.89	890															
4056.74	4056740	4058.65	4058650	1.91	1910															
4074.51	4074510	4075.72	4075720	1.21	1210															
4078.01	4078010	4078.84	4078840	0.83	830															
4086.77	4086770	4087.57	4087570	0.8	800															
4096.85	4096850	4099.07	4099070	2.22	2220															
4104.5	4104500	4105.31	4105310	0.81	810															
4106.9	4106900	4107.56	4107560	0.66	660															
4107.56	4107560	4109.01	4109010	1.45	1450															
4111.51	4111510	4112.11	4112110	0.6	600															
4116.3	4116300	4117.12	4117120	0.82	820															
4117.92	4117920	4120.15	4120150	2.23	2230															
4121.9	4121900	4122.7	4122700	0.8	800															
4125.43	4125430	4126.4	4126400	0.97	970															
4148.75	4148750	4149.55	4149550	0.8	800															
4230.87	4230870	4232.15	4232150	1.28	1280															
4245.86	4245860	4247.67	4247670	1.81	1810															
4249.71	4249710	4251.75	4251750	2.04	2040															
4266.42	4266420	4267.22	4267220	0.8	800															
5209.01	5209010	5209.99	5209990	0.98	980															
5257.8	5257800	5258.6	5258600	0.8	800															
5272.98	5272980	5273.78	5273780	0.8	800															
5292.3	5292300	5293.1	5293100	0.8	800															
6778.27	6778270	6779.07	6779070	0.8	800															
6782.94	6782940	6783.79	6783790	0.85	850															
6792.55	6792550	6793.94	6793940	1.39	1390															
6799.34	6799340	6800.33	6800330	0.99	990															
6802.14	6802140	6802.91	6802910	0.77	770															
6802.91	6802910	6804.32	6804320	1.41	1410															
6806.27	6806270	6807.08	6807080	0.81	810															
6807.71	6807710	6808.78	6808780	1.07	1070															
6839.4	6839400	6840.21	6840210	0.81	810															
6841.38	6841380	6842.18	6842180	0.8	800															
6901.55	6901550	6902.15	6902150	0.6	600															
7015.48	7015480	7017.19	7017190	1.71	1710															
7036.59	7036590	7037.39	7037390	0.8	800															
7110.24	7110240	7110.85	7110850	0.61	610															
7200.49	7200490	7201.32	7201320	0.83	830															
7263.24	7263240	7264.12	7264120	0.88	880															
7292.8	7292800	7293.4	7293400	0.6	600															
7485.85	7485850	7486.94	7486940	1.09	1090															
7531.57	7531570	7532.37	7532370	0.8	800															
7792.61	7792610	7793.41	7793410	0.8	800															
7811.45	7811450	7812.27	7812270	0.82	820															
7813.36	7813360	7815.15	7815150	1.79	1790															
8855.39	8855390	8855.99	8855990	0.6	600															
9645.74	9645740	9646.34	9646340	0.6	600															
10089.67	10089670	10091.07	10091070	1.4	1400															
10091.87	10091870	10093.15	10093150	1.28	1280															
10095.67	10095670	10097.31	10097310	1.64	1640															
10097.31	10097310	10098.91	10098910	1.6	1600															
10101.1	10101100	10102.16	10102160	1.06	1060															
10105.96	10105960	10106.56	10106560	0.6	600															
10139.77	10139770	10140.61	10140610	0.84	840															
10381.39	10381390	10382.52	10382520	1.13	1130															
10521.59	10521590	10522.49	10522490	0.9	900															
10610.39	10610390	10611.19	10611190	0.8	800															
10616.39	10616390	10616.99	10616990	0.6	600															
