Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*SIL	*TVF	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*CHF	*NON	*FAN	*OLN	
72.21	72210	72.81	72810	0.6	600															
81.07	81070	83.49	83490	2.42	2420															
94.88	94880	97.84	97840	2.96	2960															
106.62	106620	107.42	107420	0.8	800															
108.6	108600	109.61	109610	1.01	1010															
110.34	110340	111.36	111360	1.02	1020															
120.76	120760	122.24	122240	1.48	1480															
124.08	124080	125.39	125390	1.31	1310															
161.85	161850	162.98	162980	1.13	1130															
163.78	163780	164.97	164970	1.19	1190															
245.39	245390	246.58	246580	1.19	1190															
281.49	281490	282.4	282400	0.91	910															
300.01	300010	301.27	301270	1.26	1260															
359.61	359610	360.41	360410	0.8	800															
612.89	612890	613.64	613640	0.75	750															
633.91	633910	634.91	634910	1.0	1000															
700.71	700710	701.9	701900	1.19	1190															
833.37	833370	834.33	834330	0.96	960															
1204.21	1204210	1205.02	1205020	0.81	810															
1236.96	1236960	1237.56	1237560	0.6	600															
1663.19	1663190	1663.99	1663990	0.8	800															
1672.12	1672120	1672.92	1672920	0.8	800															
1706.21	1706210	1707.08	1707080	0.87	870															
1710.3	1710300	1711.1	1711100	0.8	800															
1729.68	1729680	1730.48	1730480	0.8	800															
1749.05	1749050	1749.85	1749850	0.8	800															
1812.49	1812490	1813.3	1813300	0.81	810															
1827.85	1827850	1828.83	1828830	0.98	980															
1831.07	1831070	1832.0	1832000	0.93	930															
1833.76	1833760	1834.57	1834570	0.81	810															
1863.77	1863770	1864.77	1864770	1.0	1000															
1866.2	1866200	1867.45	1867450	1.25	1250															
2479.82	2479820	2480.62	2480620	0.8	800															
2623.17	2623170	2623.99	2623990	0.82	820															
2654.12	2654120	2654.73	2654730	0.61	610															
2710.53	2710530	2711.33	2711330	0.8	800															
2712.44	2712440	2713.24	2713240	0.8	800															
2744.4	2744400	2745.79	2745790	1.39	1390															
2777.47	2777470	2778.28	2778280	0.81	810															
2781.35	2781350	2782.16	2782160	0.81	810															
2783.23	2783230	2784.31	2784310	1.08	1080															
2835.69	2835690	2836.62	2836620	0.93	930															
2850.39	2850390	2851.5	2851500	1.11	1110															
2853.19	2853190	2853.99	2853990	0.8	800															
2886.88	2886880	2887.72	2887720	0.84	840															
2895.6	2895600	2896.53	2896530	0.93	930															
2905.1	2905100	2905.9	2905900	0.8	800															
2916.1	2916100	2916.94	2916940	0.84	840															
2982.45	2982450	2983.54	2983540	1.09	1090															
2986.56	2986560	2987.36	2987360	0.8	800															
3003.31	3003310	3004.28	3004280	0.97	970															
3005.84	3005840	3006.46	3006460	0.62	620															
3008.39	3008390	3009.19	3009190	0.8	800															
3033.38	3033380	3034.18	3034180	0.8	800															
3039.5	3039500	3040.27	3040270	0.77	770															
3048.59	3048590	3049.39	3049390	0.8	800															
3119.53	3119530	3120.33	3120330	0.8	800															
3125.43	3125430	3126.44	3126440	1.01	1010															
3156.2	3156200	3157.36	3157360	1.16	1160															
3284.97	3284970	3285.77	3285770	0.8	800															
3637.69	3637690	3639.13	3639130	1.44	1440															
3645.78	3645780	3646.58	3646580	0.8	800															
4240.15	4240150	4240.95	4240950	0.8	800															
7544.37	7544370	7545.02	7545020	0.65	650															
15330.92	15330920	15331.92	15331920	1.0	1000															
15342.17	15342170	15342.98	15342980	0.81	810															
15408.81	15408810	15409.7	15409700	0.89	890															
15410.56	15410560	15411.36	15411360	0.8	800															
15412.36	15412360	15413.36	15413360	1.0	1000															
15416.43	15416430	15417.77	15417770	1.34	1340															
15723.37	15723370	15724.37	15724370	1.0	1000															
15740.77	15740770	15741.57	15741570	0.8	800															
15826.52	15826520	15827.12	15827120	0.6	600															
15861.26	15861260	15862.11	15862110	0.85	850															
15876.61	15876610	15877.42	15877420	0.81	810															
15880.54	15880540	15881.45	15881450	0.91	910															
15890.24	15890240	15891.04	15891040	0.8	800															
15896.83	15896830	15897.89	15897890	1.06	1060															
15900.52	15900520	15901.13	15901130	0.61	610															
15903.39	15903390	15904.03	15904030	0.64	640															
15911.67	15911670	15912.47	15912470	0.8	800															
15981.88	15981880	15983.79	15983790	1.91	1910															
15985.25	15985250	15986.59	15986590	1.34	1340															
16036.67	16036670	16038.0	16038000	1.33	1330															
16041.8	16041800	16042.61	16042610	0.81	810															
16050.28	16050280	16051.45	16051450	1.17	1170															
16619.32	16619320	16620.14	16620140	0.82	820															
16669.85	16669850	16670.66	16670660	0.81	810															
16721.81	16721810	16722.61	16722610	0.8	800															
16760.74	16760740	16761.54	16761540	0.8	800															
16862.59	16862590	16863.39	16863390	0.8	800															
17760.76	17760760	17761.56	17761560	0.8	800															
18335.51	18335510	18336.33	18336330	0.82	820															
18447.58	18447580	18448.19	18448190	0.61	610															
18536.95	18536950	18537.55	18537550	0.6	600															
18538.37	18538370	18539.2	18539200	0.83	830															
18548.7	18548700	18549.61	18549610	0.91	910															
18553.8	18553800	18554.66	18554660	0.86	860															
