,Participant,Total Occurring Episodes,Total Duration of Episode (Seconds),Total Duration of Episode (Minutes),Total Duration of Episode (Hours),Sum Duration Mean (Seconds),Sum Duration Median (Seconds,Sum Duration Standard Dev (Seconds),Episode not identified Count above Max Threshold,Episode not identified Duration above Max Threshold (Seconds),Total Identified Episodes,Total Identified Episodes Duration Sum,Total Categorized Episodes Sum Duration Max,Episode Count above Max Threshold,Episode Duration above Max Threshold - Actual Duration Analyzed (Seconds)
0,p2_pre _e20160630_175407_013089_1_Min_Density.csv,60,4816.78,80.27966667,1.337994444,81.64033898,43.66,89.84740069,30,3845.48,14,1202.88,95.6,7,1040
1,p3 post _ e20160710_123024_013089_1_Min_Density.csv,32,1689.21,28.1535,0.469225,54.49064516,37.69,48.46057215,13,960.57,13,523.68,8.1,5,217.86
2,p3 pre_e20160705_171307_013088_1_Min_Density.csv,37,1837.63,30.62716667,0.510452778,51.04527778,25.985,59.67022845,16,1361.62,11,733.27,82.7,7,658.09
3,p4 post_ e20160710_123200_013088_1_Min_Density.csv,48,4306.95,71.7825,1.196375,91.63723404,51.47,135.5112957,15,2677.47,16,1164.39,23.4,6,762.9
4,p5 post_ e20160830_152743_013088_1_Min_Density.csv,56,5627.09,93.78483333,1.563080556,102.3107273,56.39,161.9158766,24,4297.33,18,1548.12,74,11,1421.96
5,P5 pre _ e20160718_141513_013088_1_Min_Density.csv,78,6982.08,116.368,1.939466667,90.67636364,57.92,105.4246069,34,4788.28,14,838.66,49,7,617.75
6,p6 post _ e20160830_153103_013089_1_Min_Density.csv,113,10338.03,172.3005,2.871675,92.30383929,58.855,94.35242215,57,8099.73,23,1562,57.9,11,1166.12
7,p6 pre_ e20160718_142108_013089_1_Min_Density.csv,100,10302.07,171.7011667,2.861686111,104.0613131,46.72,143.1912449,49,8649.83,24,2026.88,179.5,10,1539.57
,TOTAL,524,45899.84,764.9973333,12.74995556,668.1657393,378.69,838.3736476,238,34680.31,133,9599.88,570.2,64,7424.25
