,Action,Start,End,Duration
99,&=crying ,00:37:52.470,00:37:52.900,00:00:00.430
100,&=crying ,00:37:52.900,00:37:53.730,00:00:00.830
101,&=crying ,00:37:54.030,00:37:54.640,00:00:00.610
102,&=crying ,00:37:55.730,00:37:59.390,00:00:03.660
103,&=crying ,00:37:59.730,00:38:00.080,00:00:00.350
104,&=crying ,00:38:02.460,00:38:02.910,00:00:00.450
105,&=crying ,00:38:04.060,00:38:04.340,00:00:00.280
106,&=crying ,00:38:07.450,00:38:07.750,00:00:00.300
107,&=crying ,00:38:09.790,00:38:11.870,00:00:02.080
108,&=crying ,00:38:20.780,00:38:22.490,00:00:01.710
109,&=crying ,00:38:33.080,00:38:34.110,00:00:01.030
110,&=crying ,00:38:35.670,00:38:38.720,00:00:03.050
111,&=crying ,00:38:40.890,00:38:42.820,00:00:01.930
112,&=crying ,00:38:52.870,00:38:53.870,00:00:01.000
113,&=crying ,00:38:53.870,00:38:54.550,00:00:00.680
114,&=crying ,00:39:10.700,00:39:10.860,00:00:00.160
115,&=crying ,00:39:22.360,00:39:22.490,00:00:00.130
116,&=crying ,00:39:23.590,00:39:24.190,00:00:00.600
117,&=crying ,00:39:26.800,00:39:27.050,00:00:00.250
118,&=crying ,00:39:28.610,00:39:28.890,00:00:00.280
119,&=crying ,00:39:33.560,00:39:34.060,00:00:00.500
120,&=crying ,00:39:34.550,00:39:35.040,00:00:00.490
121,&=crying ,00:39:38.320,00:39:38.930,00:00:00.610
122,&=crying ,00:39:42.220,00:39:43.540,00:00:01.320
123,&=crying ,00:39:46.460,00:39:46.590,00:00:00.130
124,&=crying ,00:39:49.090,00:39:49.210,00:00:00.120
125,&=crying ,00:39:51.820,00:39:52.800,00:00:00.980
126,&=crying ,00:39:53.720,00:39:54.330,00:00:00.610
127,&=crying ,00:39:56.460,00:39:56.820,00:00:00.360
128,&=crying ,00:39:57.900,00:39:58.680,00:00:00.780
129,&=crying ,00:39:59.490,00:40:00.860,00:00:01.370
130,&=crying ,00:40:02.610,00:40:03.230,00:00:00.620
131,&=crying ,00:40:04.050,00:40:04.920,00:00:00.870
132,&=crying ,00:40:13.150,00:40:13.630,00:00:00.480
133,&=crying ,00:40:18.420,00:40:18.870,00:00:00.450
134,&=crying ,00:40:20.960,00:40:21.350,00:00:00.390
135,&=crying ,00:40:26.000,00:40:26.360,00:00:00.360
136,&=crying ,00:40:27.880,00:40:28.470,00:00:00.590
137,&=crying ,00:40:55.820,00:40:56.670,00:00:00.850
138,&=crying ,00:41:08.970,00:41:09.180,00:00:00.210
139,&=crying ,00:41:26.680,00:41:26.870,00:00:00.190
140,&=crying ,00:42:31.410,00:42:31.660,00:00:00.250
141,&=crying ,00:42:32.970,00:42:35.300,00:00:02.330
142,&=crying ,00:42:36.910,00:42:37.710,00:00:00.800
143,&=crying ,00:42:38.100,00:42:40.630,00:00:02.530
144,&=crying ,00:43:05.350,00:43:07.380,00:00:02.030
145,&=crying ,00:43:08.720,00:43:12.600,00:00:03.880
146,&=crying ,00:43:14.560,00:43:15.270,00:00:00.710
147,&=crying ,00:43:17.670,00:43:18.320,00:00:00.650
148,&=crying ,00:43:19.120,00:43:20.060,00:00:00.940
149,&=crying ,00:43:35.030,00:43:35.320,00:00:00.290
150,&=crying ,00:43:36.670,00:43:37.780,00:00:01.110
151,&=crying ,00:44:58.460,00:45:00.050,00:00:01.590
152,&=crying ,00:45:10.740,00:45:11.180,00:00:00.440
153,&=crying ,00:48:21.920,00:48:22.180,00:00:00.260
154,&=crying ,00:49:30.120,00:49:30.440,00:00:00.320
155,&=crying ,00:49:31.730,00:49:32.850,00:00:01.120
156,&=crying ,00:49:33.650,00:49:35.680,00:00:02.030
157,&=crying ,00:49:43.990,00:49:46.750,00:00:02.760
158,&=crying ,00:49:47.290,00:49:47.850,00:00:00.560
159,&=crying ,00:49:49.050,00:49:49.970,00:00:00.920
160,&=crying ,00:50:01.200,00:50:01.920,00:00:00.720
161,&=crying ,00:50:03.330,00:50:04.650,00:00:01.320
162,&=crying ,00:50:05.860,00:50:06.480,00:00:00.620
163,&=crying ,00:50:08.290,00:50:09.600,00:00:01.310
164,&=crying ,00:52:31.620,00:52:32.530,00:00:00.910
165,&=crying ,00:52:48.140,00:52:48.740,00:00:00.600
